time,N,Time,avg(Acceleration (0)),avg(Acceleration (1)),avg(Acceleration (2)),avg(Acceleration (Magnitude)),avg(Pressure),avg(Velocity (0)),avg(Velocity (1)),avg(Velocity (2)),avg(Velocity (Magnitude)),avg(X),avg(Y),avg(Z),avg(abs),avg(height),
14.270,1,127,0.8961,-3.01888,0,3.14907,8535.27,-1.19822,-0.589444,0,1.33536,11.9883,3.02324,0,1.19822,3.02324,
14.382,1,128,-0.234923,-2.54553,0,2.55634,4315.39,-1.14643,0.167576,0,1.15861,8.29786,2.99153,0,1.14643,2.99153,
14.494,1,129,-0.602098,0.288638,0,0.667708,8622.87,-1.18445,0.064943,0,1.18623,8.16546,3.00211,0,1.18445,3.00211,
14.607,1,130,-0.523743,0.88069,0,1.02466,9535.7,-1.2461,0.20293,0,1.26252,8.02683,3.01661,0,1.2461,3.01661,
14.719,1,131,-0.133393,-1.78543,0,1.7904,6738.52,-1.27272,0.176894,0,1.28495,7.88248,3.04155,0,1.27272,3.04155,
14.831,1,132,-0.241943,-3.38866,0,3.39728,6032.17,-1.29003,-0.116935,0,1.29532,7.73534,3.04777,0,1.29003,3.04777,
14.944,1,133,-0.009903,-2.28245,0,2.28247,8372.29,-1.3061,-0.449176,0,1.38118,7.5861,3.01509,0,1.3061,3.01509,
15.056,1,134,5.09716,-1.26556,0,5.25192,13594.7,-1.57725,0.344091,0,1.61435,3.59132,3.01969,0,1.57725,3.01969,
15.169,1,135,-0.217077,0.791344,0,0.820578,13170.4,-1.55116,0.923574,0,1.8053,2.77204,3.119,0,1.55116,3.119,
15.281,1,136,0.583706,-0.841776,0,1.02435,7794.78,-1.56016,0.94078,0,1.82186,2.59404,3.22677,0,1.56016,3.22677,
15.393,1,137,1.20156,-3.35853,0,3.567,4903.89,-1.47852,0.688973,0,1.63116,2.42002,3.3229,0,1.47852,3.3229,
15.506,1,138,0.302164,-3.23789,0,3.25196,8162.32,-1.39663,0.289319,0,1.42628,2.25596,3.37991,0,1.39663,3.37991,
15.618,1,139,2.30325,1.61297,0,2.81187,11782.2,-1.07829,0.972008,0,1.45173,1.03305,3.44713,0,1.07829,3.44713,
15.730,1,140,2.90389,0.138147,0,2.90718,10280.8,-0.805274,1.10366,0,1.36621,0.924343,3.56654,0,0.805274,3.56654,
15.843,1,141,4.77283,-2.96231,0,5.6174,10880.6,-0.371932,0.934601,0,1.00589,0.854516,3.68555,0,0.371932,3.68555,
15.955,1,142,1.95495,-0.7561,0,2.09607,9696.3,-0.636659,0.458141,0,0.784365,1.74998,3.53692,0,0.636659,3.53692,
16.067,1,143,0.884055,-3.73283,0,3.83608,15493.8,0.510137,-0.01588,0,0.510384,0.885691,3.79527,0,0.510137,3.79527,
16.180,1,144,-2.53787,-1.04999,0,2.7465,17329.7,0.383181,-0.256725,0,0.461232,0.94048,3.77761,0,0.383181,3.77761,
16.292,1,145,1.94767,-3.51745,0,4.02068,10082.9,0.790292,-0.183962,0,0.811421,1.75183,3.6107,0,0.790292,3.6107,
16.404,1,146,-2.28705,-1.67735,0,2.83621,12727.5,0.751699,-0.497529,0,0.901436,1.84386,3.57094,0,0.751699,3.57094,
16.517,1,147,-3.06996,-0.60456,0,3.12892,15682,0.399342,-0.580333,0,0.704458,1.91111,3.50894,0,0.399342,3.50894,
16.629,1,148,1.82922,5.16786,0,5.48204,21866.8,0.217015,-0.673165,0,0.707281,0.998279,3.44452,0,0.217015,3.44452,
16.742,1,149,-0.181039,0.788576,0,0.80909,13444.7,0.313661,-0.338409,0,0.461415,1.03027,3.39093,0,0.313661,3.39093,
16.854,1,150,-1.08295,-0.510115,0,1.19708,10134.2,0.925049,-0.658174,0,1.1353,2.90336,3.24032,0,0.925049,3.24032,
16.966,1,151,-0.838306,-0.591698,0,1.02609,9756.22,0.797352,-0.670614,0,1.04187,3.00171,3.16491,0,0.797352,3.16491,
17.079,1,152,0.15486,-1.30417,0,1.31333,8674.34,0.754895,-0.784829,0,1.08896,3.0895,3.08292,0,0.754895,3.08292,
17.191,1,153,1.08208,0.776244,0,1.33171,12101.8,0.824543,-0.821898,0,1.16421,3.17872,2.98868,0,0.824543,2.98868,
17.303,1,154,1.08645,-1.01467,0,1.48658,12707,1.27739,0.314076,0,1.31544,6.21466,3.01602,0,1.27739,3.01602,
17.416,1,155,0.293599,-0.747859,0,0.803426,12059.6,1.34637,0.206442,0,1.3621,6.36556,3.0458,0,1.34637,3.0458,
17.528,1,156,-0.496954,-0.097307,0,0.506391,11412,1.3252,0.183336,0,1.33783,6.51962,3.06753,0,1.3252,3.06753,
